id_producto,t_id,id_tipo,id_subtipo,id_marca,id_proveedor,id_lote,coste_inicial,tiempo_recogida
1,Apple 1.png,1,1,26,1,7999,2.642048011224653,2025-09-19 08:00:00
2,Apple 10.png,1,1,34,30,8000,1.7022962977149207,2025-09-11 19:00:00
3,Apple 100.png,1,1,7,25,8001,1.176703363717762,2025-09-19 17:00:00
4,Apple 101.png,1,1,11,11,8002,2.3146926180743925,2025-09-28 06:00:00
5,Apple 102.png,1,1,14,31,8003,2.4735410030000056,2025-09-18 17:00:00
6,Apple 103.png,1,1,7,34,8004,1.056429040567418,2025-09-08 19:00:00
7,Apple 104.png,1,1,32,6,8005,1.7701757217845215,2025-09-19 12:00:00
8,Apple 105.png,1,1,11,10,8006,1.8737135204128943,2025-09-18 21:00:00
9,Apple 106.png,1,1,14,24,8007,2.1967539882113143,2025-09-27 20:00:00
10,Apple 107.png,1,1,27,9,8008,1.5976919553600397,2025-09-13 04:00:00
11,Apple 108.png,1,1,6,17,8009,2.338848138885735,2025-09-06 12:00:00
12,Apple 109.png,1,1,28,1,8010,2.6013991399096237,2025-09-14 12:00:00
13,Apple 11.png,1,1,1,20,8011,1.4194267406871663,2025-09-18 09:00:00
14,Apple 110.png,1,1,29,2,8012,2.9739219093002736,2025-09-13 11:00:00
15,Apple 111.png,1,1,21,4,8013,1.8920316649537579,2025-09-16 15:00:00
16,Apple 112.png,1,1,5,29,8014,2.029022407663526,2025-09-04 18:00:00
17,Apple 113.png,1,1,22,4,8015,2.2343258432874658,2025-09-23 00:00:00
18,Apple 114.png,1,1,31,30,8016,0.673491871066707,2025-09-02 16:00:00
19,Apple 115.png,1,1,22,19,8017,1.8288584207228495,2025-09-22 01:00:00
20,Apple 116.png,1,1,1,13,8018,2.1494206014404065,2025-09-20 04:00:00
21,Apple 117.png,1,1,10,11,8019,2.4053424510672303,2025-09-27 12:00:00
22,Apple 118.png,1,1,34,31,8020,2.105131970038597,2025-09-26 02:00:00
23,Apple 119.png,1,1,14,31,8021,1.7612398396185873,2025-09-25 01:00:00
24,Apple 12.png,1,1,25,13,8022,2.1636899252635815,2025-09-23 18:00:00
25,Apple 120.png,1,1,29,30,8023,1.8344793710473895,2025-09-09 02:00:00
26,Apple 121.png,1,1,7,19,8024,1.3753889904460896,2025-09-11 07:00:00
27,Apple 122.png,1,1,10,3,8025,1.6506763560881765,2025-09-03 00:00:00
28,Apple 123.png,1,1,25,10,8026,2.908390702459411,2025-09-13 20:00:00
29,Apple 124.png,1,1,19,4,8027,2.3949996844601515,2025-09-28 12:00:00
30,Apple 125.png,1,1,32,14,8028,2.1152327555548323,2025-09-02 23:00:00
31,Apple 126.png,1,1,26,17,8029,1.9295269010830622,2025-09-24 23:00:00
32,Apple 127.png,1,1,12,28,8030,1.452560401764463,2025-09-04 11:00:00
33,Apple 128.png,1,1,7,13,8031,2.4407898143885975,2025-09-19 23:00:00
34,Apple 129.png,1,1,6,16,8032,1.8905306145744936,2025-09-17 20:00:00
35,Apple 13.png,1,1,24,32,8033,1.8352471600880755,2025-09-07 20:00:00
36,Apple 130.png,1,1,17,8,8034,2.23361321657689,2025-09-27 18:00:00
37,Apple 131.png,1,1,18,21,8035,2.7242852718430273,2025-10-01 06:00:00
38,Apple 132.png,1,1,9,26,8036,2.1423583672624398,2025-09-12 21:00:00
39,Apple 133.png,1,1,9,7,8037,1.6068453116698613,2025-09-18 20:00:00
40,Apple 134.png,1,1,32,34,8038,1.8397330805081893,2025-09-02 12:00:00
41,Apple 135.png,1,1,5,8,8039,1.877268080546478,2025-09-17 08:00:00
42,Apple 136.png,1,1,9,31,8040,,2025-09-10 08:00:00
43,Apple 137.png,1,1,22,35,8041,2.241599368446958,2025-09-13 23:00:00
44,Apple 138.png,1,1,21,12,8042,2.251871831459211,2025-09-03 13:00:00
45,Apple 139.png,1,1,1,21,8043,2.17453113455124,2025-09-16 23:00:00
46,Apple 14.png,1,1,5,29,8044,1.5416036454594677,2025-09-25 07:00:00
47,Apple 140.png,1,1,31,23,8045,1.5622649709314984,2025-09-17 05:00:00
48,Apple 141.png,1,1,2,17,8046,1.555342797421914,2025-09-20 04:00:00
49,Apple 142.png,1,1,15,28,8047,2.127291237965534,2025-09-08 06:00:00
50,Apple 143.png,1,1,2,8,8048,2.2796765917329975,2025-09-29 17:00:00
51,Apple 144.png,1,1,12,19,8049,2.501633390864062,2025-09-13 11:00:00
52,Apple 145.png,1,1,27,19,8050,2.3699923079024843,2025-09-04 23:00:00
53,Apple 146.png,1,1,11,14,8051,1.2758487409674781,2025-09-06 03:00:00
54,Apple 147.png,1,1,10,14,8052,2.221516942858635,2025-09-19 11:00:00
55,Apple 148.png,1,1,22,6,8053,1.5858066202436774,2025-09-09 03:00:00
56,Apple 149.png,1,1,35,5,8054,1.0083496935793261,2025-09-24 04:00:00
57,Apple 15.png,1,1,22,4,8055,1.11561407712394,2025-09-19 05:00:00
58,Apple 150.png,1,1,6,9,8056,2.42415729146599,2025-09-16 10:00:00
59,Apple 151.png,1,1,35,13,8057,2.4189079072753716,2025-09-17 01:00:00
60,Apple 152.png,1,1,9,33,8058,1.457885123468103,2025-09-14 01:00:00
61,Apple 153.png,1,1,33,20,8059,1.7094801333654102,2025-09-02 12:00:00
62,Apple 154.png,1,1,29,26,8060,2.8889388957447286,2025-09-28 15:00:00
63,Apple 155.png,1,1,19,7,8061,1.3017696653720479,2025-09-30 21:00:00
64,Apple 156.png,1,1,6,24,8062,2.1189417875761833,2025-09-21 09:00:00
65,Apple 157.png,1,1,23,26,8063,2.6408078487364506,2025-09-20 20:00:00
66,Apple 158.png,1,1,25,11,8064,2.4623166251652875,2025-09-05 15:00:00
67,Apple 159.png,1,1,32,33,8065,1.146032257772771,2025-09-11 07:00:00
68,Apple 16.png,1,1,6,14,8066,2.088001516233952,2025-09-02 22:00:00
69,Apple 160.png,1,1,2,23,8067,1.730232885271129,2025-09-15 16:00:00
70,Apple 161.png,1,1,23,22,8068,1.44332553136206,2025-09-08 01:00:00
71,Apple 162.png,1,1,24,24,8069,1.3389186807028879,2025-09-30 01:00:00
72,Apple 163.png,1,1,25,4,8070,2.421930359445643,2025-09-05 04:00:00
73,Apple 164.png,1,1,17,23,8071,1.6480210939029405,2025-09-23 04:00:00
74,Apple 165.png,1,1,7,11,8072,1.7759079900466965,2025-09-25 17:00:00
75,Apple 166.png,1,1,34,13,8073,2.274729726858185,2025-09-16 21:00:00
76,Apple 167.png,1,1,26,16,8074,2.1613783303259355,2025-09-21 13:00:00
77,Apple 168.png,1,1,14,2,8075,1.349222226470429,2025-09-20 02:00:00
78,Apple 169.png,1,1,14,3,8076,2.177829163169748,2025-09-18 03:00:00
79,Apple 17.png,1,1,30,8,8077,1.4335292254110024,2025-09-14 15:00:00
80,Apple 170.png,1,1,23,7,8078,2.2579611247031375,2025-09-10 03:00:00
81,Apple 171.png,1,1,19,19,8079,1.5557046874648321,2025-09-21 23:00:00
82,Apple 172.png,1,1,10,9,8080,2.082280601887642,2025-09-22 03:00:00
83,Apple 173.png,1,1,32,33,8081,1.472406234678851,2025-09-07 23:00:00
84,Apple 174.png,1,1,14,24,8082,2.105864474503937,2025-09-15 03:00:00
85,Apple 175.png,1,1,8,26,8083,1.226794192755663,2025-09-19 16:00:00
86,Apple 176.png,1,1,26,24,8084,1.0020138861620698,2025-09-23 20:00:00
87,Apple 177.png,1,1,3,3,8085,1.689862963255454,2025-09-27 10:00:00
88,Apple 178.png,1,1,23,2,8086,1.0573675638572346,2025-09-07 18:00:00
89,Apple 179.png,1,1,13,24,8087,2.34798241014083,2025-09-02 09:00:00
90,Apple 18.png,1,1,17,4,8088,2.1703581571577177,2025-09-15 10:00:00
91,Apple 180.png,1,1,14,22,8089,2.9967768658708818,2025-09-25 09:00:00
92,Apple 181.png,1,1,35,15,8090,2.0027524992434578,2025-09-19 02:00:00
93,Apple 182.png,1,1,33,15,8091,2.652143241488006,2025-09-24 17:00:00
94,Apple 183.png,1,1,6,26,8092,1.2165926586154614,2025-09-27 16:00:00
95,Apple 184.png,1,1,22,5,8093,1.656755736347562,2025-09-26 14:00:00
96,Apple 185.png,1,1,24,12,8094,2.479575303732223,2025-09-25 22:00:00
97,Apple 186.png,1,1,21,4,8095,2.1595380009776166,2025-09-28 21:00:00
98,Apple 187.png,1,1,28,16,8096,1.5211791848081786,2025-09-03 09:00:00
99,Apple 188.png,1,1,34,25,8097,2.1310332787928368,2025-09-24 00:00:00
100,Apple 189.png,1,1,12,32,8098,2.1605054170286366,2025-09-22 01:00:00
101,Apple 19.png,1,1,20,10,8099,,2025-09-18 19:00:00
102,Apple 190.png,1,1,16,19,8100,1.862609887097475,2025-09-05 11:00:00
103,Apple 191.png,1,1,19,32,8101,2.35152346559378,2025-09-14 13:00:00
104,Apple 192.png,1,1,18,27,8102,2.104824904784124,2025-09-03 23:00:00
105,Apple 193.png,1,1,33,24,8103,1.793656140786428,2025-09-03 21:00:00
106,Apple 194.png,1,1,16,31,8104,1.5609465219554401,2025-09-25 21:00:00
107,Apple 195.png,1,1,32,16,8105,1.8152594337412755,2025-09-27 10:00:00
108,Apple 196.png,1,1,7,2,8106,2.0916176991901163,2025-09-13 23:00:00
109,Apple 197.png,1,1,5,32,8107,2.02342179440744,2025-09-02 13:00:00
110,Apple 198.png,1,1,35,2,8108,1.7812602621234443,2025-09-21 20:00:00
111,Apple 199.png,1,1,1,31,8109,1.083063160540699,2025-09-28 23:00:00
112,Apple 2.png,1,1,1,24,8110,2.5001300034063556,2025-09-05 14:00:00
113,Apple 20.png,1,1,13,33,8111,1.5965286259157336,2025-09-23 18:00:00
114,Apple 200.png,1,1,2,2,8112,1.9646395260192868,2025-09-18 04:00:00
115,Apple 201.png,1,1,17,18,8113,1.4498683183522476,2025-09-05 14:00:00
116,Apple 202.png,1,1,30,34,8114,1.535704858092654,2025-09-18 07:00:00
117,Apple 203.png,1,1,28,11,8115,2.272125890326554,2025-09-22 19:00:00
118,Apple 204.png,1,1,23,16,8116,1.7816088519866915,2025-09-23 06:00:00
119,Apple 205.png,1,1,9,1,8117,1.5992008869568712,2025-09-11 07:00:00
120,Apple 206.png,1,1,3,8,8118,1.2460179201120856,2025-09-19 13:00:00
121,Apple 207.png,1,1,6,30,8119,2.470867769540573,2025-09-17 23:00:00
122,Apple 208.png,1,1,4,30,8120,2.378865505993751,2025-09-08 10:00:00
123,Apple 209.png,1,1,29,33,8121,2.3387277741256716,2025-09-18 05:00:00
124,Apple 21.png,1,1,16,3,8122,,2025-09-26 03:00:00
125,Apple 210.png,1,1,24,29,8123,1.77487883980315,2025-09-29 10:00:00
126,Apple 211.png,1,1,4,16,8124,2.3634464706490523,2025-09-02 23:00:00
127,Apple 212.png,1,1,19,15,8125,1.5603771304581244,2025-09-24 23:00:00
128,Apple 213.png,1,1,31,20,8126,1.3488632061878936,2025-09-07 01:00:00
129,Apple 214.png,1,1,11,17,8127,2.161600995655573,2025-09-02 18:00:00
130,Apple 215.png,1,1,19,33,8128,1.3996541693187785,2025-09-02 10:00:00
131,Apple 216.png,1,1,16,19,8129,2.1316673918424045,2025-09-30 22:00:00
132,Apple 217.png,1,1,21,22,8130,2.5138736001063253,2025-09-19 22:00:00
133,Apple 218.png,1,1,14,23,8131,2.510845629856469,2025-09-21 09:00:00
134,Apple 219.png,1,1,5,2,8132,2.2685630039053253,2025-09-27 08:00:00
135,Apple 22.png,1,1,10,8,8133,1.786535456681752,2025-09-28 07:00:00
136,Apple 220.png,1,1,15,11,8134,1.5970091917635107,2025-09-22 02:00:00
137,Apple 221.png,1,1,19,7,8135,1.8128904725930322,2025-09-20 16:00:00
138,Apple 222.png,1,1,21,8,8136,2.1734105642520234,2025-09-11 00:00:00
139,Apple 223.png,1,1,15,11,8137,1.539222407543114,2025-09-02 15:00:00
140,Apple 224.png,1,1,33,20,8138,1.982170111091038,2025-09-15 18:00:00
141,Apple 225.png,1,1,14,17,8139,1.598072316926062,2025-09-01 09:00:00
142,Apple 226.png,1,1,28,17,8140,1.655429356986962,2025-09-12 15:00:00
143,Apple 227.png,1,1,26,5,8141,2.2585886922570286,2025-09-05 23:00:00
144,Apple 228.png,1,1,32,4,8142,1.8774113365357123,2025-09-21 16:00:00
145,Apple 229.png,1,1,11,34,8143,2.010632336719766,2025-09-02 22:00:00
146,Apple 23.png,1,1,18,15,8144,1.6964227531602711,2025-09-27 09:00:00
147,Apple 230.png,1,1,31,10,8145,2.7568212264654504,2025-09-20 14:00:00
148,Apple 231.png,1,1,28,7,8146,2.3780191018640346,2025-09-26 07:00:00
149,Apple 232.png,1,1,6,13,8147,1.5962376476547537,2025-09-17 10:00:00
150,Apple 233.png,1,1,9,31,8148,2.400242253584725,2025-09-18 05:00:00
151,Apple 234.png,1,1,18,6,8149,2.349717718422661,2025-09-05 04:00:00
152,Apple 235.png,1,1,28,30,8150,2.3107641960904854,2025-09-11 07:00:00
153,Apple 236.png,1,1,5,23,8151,3.248097481137369,2025-09-12 01:00:00
154,Apple 237.png,1,1,24,18,8152,1.92473526351368,2025-09-07 18:00:00
155,Apple 238.png,1,1,9,2,8153,1.3749781757488346,2025-09-23 05:00:00
156,Apple 239.png,1,1,7,8,8154,2.124916434249815,2025-09-10 15:00:00
157,Apple 24.png,1,1,23,30,8155,1.8579945580640762,2025-09-04 16:00:00
158,Apple 240.png,1,1,23,1,8156,1.8918168604799068,2025-09-11 22:00:00
159,Apple 241.png,1,1,15,18,8157,2.742421837048668,2025-09-02 21:00:00
160,Apple 242.png,1,1,28,22,8158,1.7135453387871311,2025-09-26 01:00:00
