id_venta,id_producto,id_cliente,precio_venta,tiempo_venta,peso
1,1,6,4.909680048977395,2025-09-19 12:00:00,264.1953566271329
2,2,6,3.4251031567521197,2025-09-12 02:00:00,141.6473268898563
3,3,20,3.1783859650008845,2025-09-19 22:00:00,151.92358635824235
4,4,32,4.1269679508898145,2025-09-28 17:00:00,442.4753909248424
5,5,33,3.3498775915178056,2025-09-19 03:00:00,423.776864366668
6,6,28,2.5371866224874875,2025-09-08 23:00:00,387.18649898251056
7,7,34,3.630331557875297,2025-09-19 17:00:00,336.6452639950644
8,8,22,3.7361258729554763,2025-09-19 04:00:00,341.15388360508837
9,9,26,3.549931656054909,2025-09-27 23:00:00,179.13266059124533
10,10,34,2.7101487016971526,2025-09-13 05:00:00,191.1993491920723
11,11,1,4.500346954123069,2025-09-06 19:00:00,414.30185338758884
12,12,3,3.8215244165521844,2025-09-14 18:00:00,106.15801796670061
13,13,7,2.3495540649073297,2025-09-18 14:00:00,274.3456278084537
14,14,33,4.22408735991586,2025-09-13 18:00:00,199.66916318851054
15,15,19,2.7997997747221883,2025-09-17 03:00:00,310.5631831056728
16,16,18,3.3096520192476975,2025-09-05 01:00:00,246.1103420806823
17,17,34,3.437143426444761,2025-09-23 05:00:00,413.620854271579
18,18,19,2.6031491555701667,2025-09-02 22:00:00,247.3311291373113
19,19,18,2.4820184056032053,2025-09-22 03:00:00,411.9934686835963
20,20,20,4.046664431106414,2025-09-20 08:00:00,402.5309102142886
21,21,27,,2025-09-27 16:00:00,383.34840163496244
22,22,26,3.1647229949618505,2025-09-26 05:00:00,342.89361345927904
23,23,14,2.4267411630419695,2025-09-25 07:00:00,377.3031913140058
24,24,15,3.2174381918579638,2025-09-24 02:00:00,315.3282607854054
25,25,16,3.3602202848338383,2025-09-09 11:00:00,311.543362309667
26,26,29,2.6995425242332423,2025-09-11 13:00:00,310.3640292323039
27,27,22,3.495300536332188,2025-09-03 06:00:00,261.8977972449649
28,28,28,5.008980416049912,2025-09-13 23:00:00,335.45973990264395
29,29,18,3.244246419245713,2025-09-28 20:00:00,229.1598541259949
30,30,3,2.9960899066227067,2025-09-03 12:00:00,374.86304565770286
31,31,5,4.635404923669964,2025-09-25 07:00:00,287.88544659899094
32,32,34,2.967629787280935,2025-09-04 19:00:00,119.08201135971862
33,33,10,4.059854817475445,2025-09-20 06:00:00,271.320790847877
34,34,25,3.7597440459301676,2025-09-18 03:00:00,327.1721839784525
35,35,19,2.8906243436103045,2025-09-08 04:00:00,431.4163844853053
36,36,29,3.640284759478928,2025-09-28 03:00:00,227.02609140344038
37,37,24,4.229964302008325,2025-10-01 12:00:00,258.65025055712914
38,38,27,4.546165794471584,2025-09-13 04:00:00,309.2308059871926
39,39,19,3.0254693667958725,2025-09-19 05:00:00,289.7368931700877
40,40,30,3.2347207831517863,2025-09-02 17:00:00,214.10419105555843
41,41,6,3.468745758352403,2025-09-17 11:00:00,516.1676698744507
42,42,12,4.076714725514104,2025-09-10 12:00:00,321.77554306257724
