id,id_tipo,id_proveedor,id_marca,id_lote,t_id,tiempo_recogida,coste_inicial,imagen,tipo,subtipo,repetido,error_lote,id_subtipo
1,1,1,1,1,Apple 1.png,2025-09-19 08:00:00,2.642048011224653,/contenidos/archive/Apple/Apple A/Apple 1.png,Apple,Apple A,0,0,1
2,1,2,2,2,Apple 10.png,2025-09-11 19:00:00,1.7022962977149207,/contenidos/archive/Apple/Apple A/Apple 10.png,Apple,Apple A,0,0,1
3,1,3,3,3,Apple 100.png,2025-09-19 17:00:00,1.176703363717762,/contenidos/archive/Apple/Apple A/Apple 100.png,Apple,Apple A,0,0,1
4,1,4,4,4,Apple 101.png,2025-09-28 06:00:00,2.3146926180743925,/contenidos/archive/Apple/Apple A/Apple 101.png,Apple,Apple A,0,0,1
5,1,5,5,5,Apple 102.png,2025-09-18 17:00:00,2.4735410030000056,/contenidos/archive/Apple/Apple A/Apple 102.png,Apple,Apple A,0,0,1
6,1,6,3,6,Apple 103.png,2025-09-08 19:00:00,1.056429040567418,/contenidos/archive/Apple/Apple A/Apple 103.png,Apple,Apple A,0,0,1
7,1,7,6,7,Apple 104.png,2025-09-19 12:00:00,1.7701757217845215,/contenidos/archive/Apple/Apple A/Apple 104.png,Apple,Apple A,0,0,1
8,1,8,4,8,Apple 105.png,2025-09-18 21:00:00,1.8737135204128943,/contenidos/archive/Apple/Apple A/Apple 105.png,Apple,Apple A,0,0,1
9,1,9,5,9,Apple 106.png,2025-09-27 20:00:00,2.1967539882113143,/contenidos/archive/Apple/Apple A/Apple 106.png,Apple,Apple A,0,0,1
10,1,10,7,10,Apple 107.png,2025-09-13 04:00:00,1.5976919553600395,/contenidos/archive/Apple/Apple A/Apple 107.png,Apple,Apple A,0,0,1
11,1,11,8,11,Apple 108.png,2025-09-06 12:00:00,2.338848138885735,/contenidos/archive/Apple/Apple A/Apple 108.png,Apple,Apple A,0,0,1
12,1,1,9,12,Apple 109.png,2025-09-14 12:00:00,2.601399139909624,/contenidos/archive/Apple/Apple A/Apple 109.png,Apple,Apple A,0,0,1
13,1,12,10,13,Apple 11.png,2025-09-18 09:00:00,1.4194267406871663,/contenidos/archive/Apple/Apple A/Apple 11.png,Apple,Apple A,0,0,1
14,1,13,11,14,Apple 110.png,2025-09-13 11:00:00,2.9739219093002736,/contenidos/archive/Apple/Apple A/Apple 110.png,Apple,Apple A,0,0,1
15,1,14,12,15,Apple 111.png,2025-09-16 15:00:00,1.8920316649537576,/contenidos/archive/Apple/Apple A/Apple 111.png,Apple,Apple A,0,0,1
16,1,15,13,16,Apple 112.png,2025-09-04 18:00:00,2.029022407663526,/contenidos/archive/Apple/Apple A/Apple 112.png,Apple,Apple A,0,0,1
17,1,14,14,17,Apple 113.png,2025-09-23 00:00:00,2.2343258432874658,/contenidos/archive/Apple/Apple A/Apple 113.png,Apple,Apple A,0,0,1
18,1,2,15,18,Apple 114.png,2025-09-02 16:00:00,0.673491871066707,/contenidos/archive/Apple/Apple A/Apple 114.png,Apple,Apple A,0,0,1
19,1,16,14,19,Apple 115.png,2025-09-22 01:00:00,1.828858420722849,/contenidos/archive/Apple/Apple A/Apple 115.png,Apple,Apple A,0,0,1
20,1,17,10,20,Apple 116.png,2025-09-20 04:00:00,2.1494206014404065,/contenidos/archive/Apple/Apple A/Apple 116.png,Apple,Apple A,0,0,1
21,1,4,16,21,Apple 117.png,2025-09-27 12:00:00,2.4053424510672303,/contenidos/archive/Apple/Apple A/Apple 117.png,Apple,Apple A,0,0,1
22,1,5,2,22,Apple 118.png,2025-09-26 02:00:00,2.105131970038597,/contenidos/archive/Apple/Apple A/Apple 118.png,Apple,Apple A,0,0,1
23,1,5,5,23,Apple 119.png,2025-09-25 01:00:00,1.761239839618587,/contenidos/archive/Apple/Apple A/Apple 119.png,Apple,Apple A,0,0,1
24,1,17,17,24,Apple 12.png,2025-09-23 18:00:00,2.163689925263581,/contenidos/archive/Apple/Apple A/Apple 12.png,Apple,Apple A,0,0,1
25,1,2,11,25,Apple 120.png,2025-09-09 02:00:00,1.8344793710473888,/contenidos/archive/Apple/Apple A/Apple 120.png,Apple,Apple A,0,0,1
26,1,16,3,26,Apple 121.png,2025-09-11 07:00:00,1.3753889904460896,/contenidos/archive/Apple/Apple A/Apple 121.png,Apple,Apple A,0,0,1
27,1,18,16,27,Apple 122.png,2025-09-03 00:00:00,1.6506763560881763,/contenidos/archive/Apple/Apple A/Apple 122.png,Apple,Apple A,0,0,1
28,1,8,17,28,Apple 123.png,2025-09-13 20:00:00,2.908390702459411,/contenidos/archive/Apple/Apple A/Apple 123.png,Apple,Apple A,0,0,1
29,1,14,18,29,Apple 124.png,2025-09-28 12:00:00,2.3949996844601515,/contenidos/archive/Apple/Apple A/Apple 124.png,Apple,Apple A,0,0,1
30,1,19,6,30,Apple 125.png,2025-09-02 23:00:00,2.1152327555548323,/contenidos/archive/Apple/Apple A/Apple 125.png,Apple,Apple A,0,0,1
31,1,11,1,31,Apple 126.png,2025-09-24 23:00:00,1.9295269010830625,/contenidos/archive/Apple/Apple A/Apple 126.png,Apple,Apple A,0,0,1
32,1,20,19,32,Apple 127.png,2025-09-04 11:00:00,1.452560401764463,/contenidos/archive/Apple/Apple A/Apple 127.png,Apple,Apple A,0,0,1
33,1,17,3,33,Apple 128.png,2025-09-19 23:00:00,2.440789814388597,/contenidos/archive/Apple/Apple A/Apple 128.png,Apple,Apple A,0,0,1
34,1,21,8,34,Apple 129.png,2025-09-17 20:00:00,1.8905306145744936,/contenidos/archive/Apple/Apple A/Apple 129.png,Apple,Apple A,0,0,1
35,1,22,20,35,Apple 13.png,2025-09-07 20:00:00,1.8352471600880755,/contenidos/archive/Apple/Apple A/Apple 13.png,Apple,Apple A,0,0,1
36,1,23,21,36,Apple 130.png,2025-09-27 18:00:00,2.23361321657689,/contenidos/archive/Apple/Apple A/Apple 130.png,Apple,Apple A,0,0,1
37,1,24,22,37,Apple 131.png,2025-10-01 06:00:00,2.724285271843028,/contenidos/archive/Apple/Apple A/Apple 131.png,Apple,Apple A,0,0,1
38,1,25,23,38,Apple 132.png,2025-09-12 21:00:00,2.14235836726244,/contenidos/archive/Apple/Apple A/Apple 132.png,Apple,Apple A,0,0,1
39,1,26,23,39,Apple 133.png,2025-09-18 20:00:00,1.606845311669861,/contenidos/archive/Apple/Apple A/Apple 133.png,Apple,Apple A,0,0,1
40,1,6,6,40,Apple 134.png,2025-09-02 12:00:00,1.8397330805081893,/contenidos/archive/Apple/Apple A/Apple 134.png,Apple,Apple A,0,0,1
41,1,23,13,41,Apple 135.png,2025-09-17 08:00:00,1.877268080546478,/contenidos/archive/Apple/Apple A/Apple 135.png,Apple,Apple A,0,0,1
42,1,5,23,42,Apple 136.png,2025-09-10 08:00:00,,/contenidos/archive/Apple/Apple A/Apple 136.png,Apple,Apple A,0,0,1
43,1,27,14,43,Apple 137.png,2025-09-13 23:00:00,2.241599368446958,/contenidos/archive/Apple/Apple A/Apple 137.png,Apple,Apple A,0,0,1
44,1,28,12,44,Apple 138.png,2025-09-03 13:00:00,2.251871831459211,/contenidos/archive/Apple/Apple A/Apple 138.png,Apple,Apple A,0,0,1
45,1,24,10,45,Apple 139.png,2025-09-16 23:00:00,2.17453113455124,/contenidos/archive/Apple/Apple A/Apple 139.png,Apple,Apple A,0,0,1
46,1,15,13,46,Apple 14.png,2025-09-25 07:00:00,1.5416036454594677,/contenidos/archive/Apple/Apple A/Apple 14.png,Apple,Apple A,0,0,1
47,1,29,15,47,Apple 140.png,2025-09-17 05:00:00,1.5622649709314984,/contenidos/archive/Apple/Apple A/Apple 140.png,Apple,Apple A,0,0,1
48,1,11,24,48,Apple 141.png,2025-09-20 04:00:00,1.555342797421914,/contenidos/archive/Apple/Apple A/Apple 141.png,Apple,Apple A,0,0,1
49,1,20,25,49,Apple 142.png,2025-09-08 06:00:00,2.127291237965534,/contenidos/archive/Apple/Apple A/Apple 142.png,Apple,Apple A,0,0,1
50,1,23,24,50,Apple 143.png,2025-09-29 17:00:00,2.279676591732997,/contenidos/archive/Apple/Apple A/Apple 143.png,Apple,Apple A,0,0,1
51,1,16,19,51,Apple 144.png,2025-09-13 11:00:00,2.501633390864062,/contenidos/archive/Apple/Apple A/Apple 144.png,Apple,Apple A,0,0,1
52,1,16,7,52,Apple 145.png,2025-09-04 23:00:00,2.3699923079024843,/contenidos/archive/Apple/Apple A/Apple 145.png,Apple,Apple A,0,0,1
53,1,19,4,53,Apple 146.png,2025-09-06 03:00:00,1.275848740967478,/contenidos/archive/Apple/Apple A/Apple 146.png,Apple,Apple A,0,0,1
54,1,19,16,54,Apple 147.png,2025-09-19 11:00:00,2.221516942858635,/contenidos/archive/Apple/Apple A/Apple 147.png,Apple,Apple A,0,0,1
55,1,7,14,55,Apple 148.png,2025-09-09 03:00:00,1.5858066202436774,/contenidos/archive/Apple/Apple A/Apple 148.png,Apple,Apple A,0,0,1
56,1,30,26,56,Apple 149.png,2025-09-24 04:00:00,1.008349693579326,/contenidos/archive/Apple/Apple A/Apple 149.png,Apple,Apple A,0,0,1
57,1,14,14,57,Apple 15.png,2025-09-19 05:00:00,1.11561407712394,/contenidos/archive/Apple/Apple A/Apple 15.png,Apple,Apple A,0,0,1
58,1,10,8,58,Apple 150.png,2025-09-16 10:00:00,2.42415729146599,/contenidos/archive/Apple/Apple A/Apple 150.png,Apple,Apple A,0,0,1
59,1,17,26,59,Apple 151.png,2025-09-17 01:00:00,2.418907907275372,/contenidos/archive/Apple/Apple A/Apple 151.png,Apple,Apple A,0,0,1
60,1,31,23,60,Apple 152.png,2025-09-14 01:00:00,1.457885123468103,/contenidos/archive/Apple/Apple A/Apple 152.png,Apple,Apple A,0,0,1
61,1,12,27,61,Apple 153.png,2025-09-02 12:00:00,1.7094801333654102,/contenidos/archive/Apple/Apple A/Apple 153.png,Apple,Apple A,0,0,1
62,1,25,11,62,Apple 154.png,2025-09-28 15:00:00,2.8889388957447286,/contenidos/archive/Apple/Apple A/Apple 154.png,Apple,Apple A,0,0,1
63,1,26,18,63,Apple 155.png,2025-09-30 21:00:00,1.301769665372048,/contenidos/archive/Apple/Apple A/Apple 155.png,Apple,Apple A,0,0,1
64,1,9,8,64,Apple 156.png,2025-09-21 09:00:00,2.118941787576184,/contenidos/archive/Apple/Apple A/Apple 156.png,Apple,Apple A,0,0,1
65,1,25,28,65,Apple 157.png,2025-09-20 20:00:00,2.6408078487364506,/contenidos/archive/Apple/Apple A/Apple 157.png,Apple,Apple A,0,0,1
66,1,4,17,66,Apple 158.png,2025-09-05 15:00:00,2.4623166251652875,/contenidos/archive/Apple/Apple A/Apple 158.png,Apple,Apple A,0,0,1
67,1,31,6,67,Apple 159.png,2025-09-11 07:00:00,1.146032257772771,/contenidos/archive/Apple/Apple A/Apple 159.png,Apple,Apple A,0,0,1
68,1,19,8,68,Apple 16.png,2025-09-02 22:00:00,2.088001516233952,/contenidos/archive/Apple/Apple A/Apple 16.png,Apple,Apple A,0,0,1
69,1,29,24,69,Apple 160.png,2025-09-15 16:00:00,1.730232885271129,/contenidos/archive/Apple/Apple A/Apple 160.png,Apple,Apple A,0,0,1
70,1,32,28,70,Apple 161.png,2025-09-08 01:00:00,1.44332553136206,/contenidos/archive/Apple/Apple A/Apple 161.png,Apple,Apple A,0,0,1
71,1,9,20,71,Apple 162.png,2025-09-30 01:00:00,1.338918680702888,/contenidos/archive/Apple/Apple A/Apple 162.png,Apple,Apple A,0,0,1
72,1,14,17,72,Apple 163.png,2025-09-05 04:00:00,2.421930359445643,/contenidos/archive/Apple/Apple A/Apple 163.png,Apple,Apple A,0,0,1
73,1,29,21,73,Apple 164.png,2025-09-23 04:00:00,1.6480210939029405,/contenidos/archive/Apple/Apple A/Apple 164.png,Apple,Apple A,0,0,1
74,1,4,3,74,Apple 165.png,2025-09-25 17:00:00,1.7759079900466963,/contenidos/archive/Apple/Apple A/Apple 165.png,Apple,Apple A,0,0,1
75,1,17,2,75,Apple 166.png,2025-09-16 21:00:00,2.274729726858185,/contenidos/archive/Apple/Apple A/Apple 166.png,Apple,Apple A,0,0,1
76,1,21,1,76,Apple 167.png,2025-09-21 13:00:00,2.1613783303259355,/contenidos/archive/Apple/Apple A/Apple 167.png,Apple,Apple A,0,0,1
77,1,13,5,77,Apple 168.png,2025-09-20 02:00:00,1.349222226470429,/contenidos/archive/Apple/Apple A/Apple 168.png,Apple,Apple A,0,0,1
78,1,18,5,78,Apple 169.png,2025-09-18 03:00:00,2.177829163169748,/contenidos/archive/Apple/Apple A/Apple 169.png,Apple,Apple A,0,0,1
79,1,23,29,79,Apple 17.png,2025-09-14 15:00:00,1.4335292254110024,/contenidos/archive/Apple/Apple A/Apple 17.png,Apple,Apple A,0,0,1
80,1,26,28,80,Apple 170.png,2025-09-10 03:00:00,2.257961124703137,/contenidos/archive/Apple/Apple A/Apple 170.png,Apple,Apple A,0,0,1
81,1,16,18,81,Apple 171.png,2025-09-21 23:00:00,1.555704687464832,/contenidos/archive/Apple/Apple A/Apple 171.png,Apple,Apple A,0,0,1
82,1,10,16,82,Apple 172.png,2025-09-22 03:00:00,2.082280601887642,/contenidos/archive/Apple/Apple A/Apple 172.png,Apple,Apple A,0,0,1
83,1,31,6,83,Apple 173.png,2025-09-07 23:00:00,1.472406234678851,/contenidos/archive/Apple/Apple A/Apple 173.png,Apple,Apple A,0,0,1
84,1,9,5,84,Apple 174.png,2025-09-15 03:00:00,2.105864474503937,/contenidos/archive/Apple/Apple A/Apple 174.png,Apple,Apple A,0,0,1
85,1,25,30,85,Apple 175.png,2025-09-19 16:00:00,1.226794192755663,/contenidos/archive/Apple/Apple A/Apple 175.png,Apple,Apple A,0,0,1
86,1,9,1,86,Apple 176.png,2025-09-23 20:00:00,1.0020138861620698,/contenidos/archive/Apple/Apple A/Apple 176.png,Apple,Apple A,0,0,1
87,1,18,31,87,Apple 177.png,2025-09-27 10:00:00,1.689862963255454,/contenidos/archive/Apple/Apple A/Apple 177.png,Apple,Apple A,0,0,1
