id,id_cliente,id_producto,precio_venta,tiempo_venta,peso,cliente
1,1,1,4.909680048977395,2025-09-19 12:00:00,264.1953566271329,CompraMaestra
2,1,2,3.42510315675212,2025-09-12 02:00:00,141.6473268898563,CompraMaestra
3,2,3,3.1783859650008845,2025-09-19 22:00:00,151.92358635824235,La Tienda Justa
4,3,4,4.126967950889815,2025-09-28 17:00:00,442.4753909248424,Supermercados del Valle
5,4,5,3.3498775915178056,2025-09-19 03:00:00,423.776864366668,Tienda Familiar
6,5,6,2.5371866224874875,2025-09-08 23:00:00,387.18649898251056,SuperEconómico
7,6,7,3.630331557875297,2025-09-19 17:00:00,336.6452639950644,Tienda Selecta
8,7,8,3.736125872955476,2025-09-19 04:00:00,341.1538836050884,MaxiDescuentos
9,8,9,3.549931656054909,2025-09-27 23:00:00,179.13266059124533,Mercado del Barrio
10,6,10,2.7101487016971526,2025-09-13 05:00:00,191.1993491920723,Tienda Selecta
11,9,11,4.500346954123069,2025-09-06 19:00:00,414.3018533875888,Alimentación Total
12,10,12,3.821524416552184,2025-09-14 18:00:00,106.1580179667006,Almacén Estrella
13,11,13,2.3495540649073297,2025-09-18 14:00:00,274.3456278084537,CompraRápida
14,4,14,4.22408735991586,2025-09-13 18:00:00,199.6691631885105,Tienda Familiar
15,12,15,2.7997997747221883,2025-09-17 03:00:00,310.5631831056728,La Ruta del Sabor
16,13,16,3.309652019247697,2025-09-05 01:00:00,246.1103420806823,La Gran Cosecha
17,6,17,3.437143426444761,2025-09-23 05:00:00,413.620854271579,Tienda Selecta
18,12,18,2.6031491555701667,2025-09-02 22:00:00,247.3311291373113,La Ruta del Sabor
19,13,19,2.4820184056032053,2025-09-22 03:00:00,411.9934686835963,La Gran Cosecha
20,2,20,4.046664431106414,2025-09-20 08:00:00,402.5309102142886,La Tienda Justa
21,14,21,,2025-09-27 16:00:00,383.3484016349624,SuperAhorro Express
22,8,22,3.1647229949618505,2025-09-26 05:00:00,342.89361345927904,Mercado del Barrio
23,15,23,2.426741163041969,2025-09-25 07:00:00,377.3031913140058,EcoMercado Sostenible
24,16,24,3.217438191857964,2025-09-24 02:00:00,315.3282607854054,EcoTienda
25,17,25,3.3602202848338383,2025-09-09 11:00:00,311.543362309667,El Bazar de la Comida
26,18,26,2.6995425242332423,2025-09-11 13:00:00,310.3640292323039,SuperMercado Ideal
27,7,27,3.495300536332188,2025-09-03 06:00:00,261.8977972449649,MaxiDescuentos
28,5,28,5.008980416049912,2025-09-13 23:00:00,335.45973990264395,SuperEconómico
29,13,29,3.244246419245713,2025-09-28 20:00:00,229.1598541259949,La Gran Cosecha
30,10,30,2.9960899066227067,2025-09-03 12:00:00,374.86304565770286,Almacén Estrella
31,19,31,4.635404923669964,2025-09-25 07:00:00,287.88544659899094,Comercial Fresco
32,6,32,2.967629787280935,2025-09-04 19:00:00,119.08201135971862,Tienda Selecta
33,20,33,4.059854817475445,2025-09-20 06:00:00,271.320790847877,Distribuciones del Sol
34,21,34,3.759744045930168,2025-09-18 03:00:00,327.1721839784525,Mercado Fresco XYZ
35,12,35,2.8906243436103045,2025-09-08 04:00:00,431.4163844853053,La Ruta del Sabor
36,18,36,3.640284759478928,2025-09-28 03:00:00,227.0260914034404,SuperMercado Ideal
37,22,37,4.229964302008325,2025-10-01 12:00:00,258.65025055712914,MegaCompra
38,14,38,4.546165794471584,2025-09-13 04:00:00,309.2308059871926,SuperAhorro Express
39,12,39,3.0254693667958725,2025-09-19 05:00:00,289.7368931700877,La Ruta del Sabor
40,23,40,3.2347207831517863,2025-09-02 17:00:00,214.10419105555843,SuperOfertas Plus
41,1,41,3.468745758352403,2025-09-17 11:00:00,516.1676698744507,CompraMaestra
42,24,42,4.076714725514104,2025-09-10 12:00:00,321.77554306257724,Distribuidora Gourmet
43,25,43,3.0204098723918693,2025-09-14 08:00:00,425.5109451222729,Distribuidora Nacional
44,23,44,3.4196220429070454,2025-09-03 20:00:00,455.3224653599782,SuperOfertas Plus
45,17,45,3.491676385602935,2025-09-17 03:00:00,107.70021499763,El Bazar de la Comida
46,14,46,3.032805605447792,2025-09-25 12:00:00,295.0248364103986,SuperAhorro Express
